SoftSkillName|id
habilidade na liderança de equipes|cv12714.xml
multidisciplinares para atuação em projetos de desenvolvimento ou equipe de sustentação|cv12714.xml
experiência em gerenciamento|cv12714.xml
levantamento de requisitos|cv12714.xml
Facilidade com análise|cv12714.xml
organizada|cv12714.xml
disciplinada|cv12714.xml
proativa|cv12714.xml
Gosto de trabalhar em equipe|cv12714.xml
Habilidades no relacionamento interpessoal|cv24026.xml
|cv32557.xml
|cv11045.xml
|cv2166.xml
|cv3875.xml
|cv20771.xml
|cv17433.xml
|cv19518.xml
|cv17629.xml
|cv27351.xml
|cv29110.xml
trabalho em equipe|cv21365.xml
|cv15882.xml
Teste|cv8700.xml
|cv33111.xml
|cv28985.xml
|cv36748.xml
|cv37475.xml
|cv25784.xml
|cv6926.xml
Eloquência|cv14867.xml
proatividade|cv14867.xml
facilidade para aprender e copentência em resolução de problemas|cv14867.xml
|cv17432.xml
|cv38407.xml
|cv17829.xml
|cv7742.xml
trabalhar em equipe|cv7335.xml
agilidade na execução de tarefas|cv7335.xml
assiduidade|cv7335.xml
pontualidade|cv7335.xml
|cv241.xml
|cv25735.xml
seriedade|cv32920.xml
dinamismo|cv32920.xml
forma a gerar resultados|cv32920.xml
|cv32711.xml
|cv36495.xml
Comprometido|cv5117.xml
capacidade de liderança|cv5117.xml
trabalho em equipe|cv5117.xml
comprometimento com|cv14004.xml
Trabalho em equipe|cv29373.xml
|cv5241.xml
|cv13783.xml
|cv37319.xml
|cv19099.xml
Proativo|cv34505.xml
facilidade de aprendizagem|cv34505.xml
flexibilidade|cv34505.xml
iniciativa|cv34505.xml
agilidade|cv34505.xml
companheirismo|cv34505.xml
bom nível de comunicação e escrita|cv34505.xml
ótimo relacionamento interpessoal|cv34505.xml
trabalho|cv34505.xml
Excelente relacionamento interpessoal|cv37481.xml
facilidade em trabalhar em equipe|cv37481.xml
|cv19719.xml
|cv8113.xml
|cv25596.xml
acompanhamento de resultados|cv6512.xml
coordenação de equipes|cv6512.xml
gestão de negócios|cv6512.xml
liderança|cv6512.xml
negociação, visão organizacional|cv6512.xml
motivação|cv6512.xml
organização|cv6512.xml
eficiência|cv6512.xml
facilidade de relacionamento interpessoal|cv6512.xml
iniciativa|cv6512.xml
pro atividade|cv6512.xml
gerenciamento de projetos|cv6512.xml
conhecimento nas rotinas de relacionamento com cliente|cv6512.xml
Capacidade analítica para compreensão de dados|cv5595.xml
|cv34830.xml
bom relacionamento interpessoal|cv11303.xml
flexibilidade|cv11303.xml
agilidade|cv11303.xml
atitude|cv11303.xml
iniciativa, fluência verbal e escrita|cv11303.xml
identificar e solucionar conflitos e gestão de pessoas|cv11303.xml
Capacidade de liderança|cv26031.xml
habilidade em negociação|cv26031.xml
visão estratégica|cv26031.xml
|cv25481.xml
|cv35047.xml
iniciativa|cv13065.xml
flexibilidade em|cv13065.xml
habilidades para conduzir conflitos e interesses na evolução do projeto|cv13065.xml
comunicação|cv13065.xml
riscos|cv13065.xml
aquisições|cv13065.xml
integração|cv13065.xml
|cv30766.xml
|cv9851.xml
|cv21731.xml
|cv11621.xml
|cv9620.xml
|cv26173.xml
|cv25721.xml
|cv29048.xml
|cv26967.xml
|cv17621.xml
|cv33184.xml
|cv29762.xml
|cv29799.xml
bastante calma e aprendo rápido|cv17513.xml
Habilidade na comunicação interpessoal|cv35687.xml
|cv14530.xml
|cv30780.xml
|cv15380.xml
habilidades|cv13697.xml
perfil crítico|cv33327.xml
analítico|cv33327.xml
minucioso|cv33327.xml
|cv29601.xml
adquirir novos conhecimentos|cv15671.xml
|cv14242.xml
|cv14765.xml
|cv34475.xml
|cv28904.xml
|cv9915.xml
flexível|cv14758.xml
determinado|cv14758.xml
vontade de aprender|cv14758.xml
|cv4768.xml
|cv17816.xml
ética|cv11545.xml
responsável|cv11545.xml
comprometido|cv11545.xml
dinâmico|cv11545.xml
proativo|cv11545.xml
excelente relacionamento interpessoal|cv11545.xml
ótima apresentação pessoal|cv11545.xml
|cv5742.xml
Boa relação interpessoal|cv11280.xml
Organizado|cv11280.xml
Esforçado|cv11280.xml
Pontual|cv11280.xml
|cv8733.xml
|cv39339.xml
|cv23210.xml
|cv23131.xml
|cv26102.xml
Facilidade de comunicação verbal e escrita|cv5034.xml
|cv19224.xml
|cv7691.xml
|cv25691.xml
fácil|cv18363.xml
profissional|cv18363.xml
possuo gosto|cv18363.xml
facilidade em aprender|cv18363.xml
|cv38084.xml
|cv34053.xml
|cv33163.xml
|cv8552.xml
conflitos|cv1893.xml
