id,traininghistory_text,traininghistory_training_description,traininghistory_training_enddate_anydate,traininghistory_training_enddate_stringdate,traininghistory_training_enddate_year,traininghistory_training_enddate_yearmonth,traininghistory_training_entity,traininghistory_training_qualifications_qualification,traininghistory_training_startdate_anydate,traininghistory_training_startdate_year,traininghistory_training_startdate_yearmonth,traininghistory_training_type
cv48015.xml,web applica ons for everybody specializa on (university of estagiário  equipe de desenvolvimento web  michigan - 100 horas) polisys s.a.  brasília  df   -python (pluralsight.com - 30 horas) manutenção de banco de dados mysql desenvolvimento front-end e back-end para java ee -jquery (pluralsight.com - 27 horas) criação e formatação de templates u lizando ireports -angular (pluralsight.com - 36 horas) outros conhecimentos: svn  hibernate  web servlets  mps.br -react (cursando)   outras informações   idade: 24 anoscnh: b  desde  junho 2011  endereço: stn lote l bloco a apt 13   asa norte  df  estado civil: solteiro   março 2013 - fevereiro 2013   janeiro 2012 - junho 2012 ,janeiro 2012 - junho 2012,,current,2013,2012-06,polisys s.a,,,,2012-01,unknown
cv47643.xml,• academia asp net mvc 5 (c#) developer - básico / avançado - 140 horas - wincomp -  21/03/2017 - em conclusão. • c# (básico  intermediário  avançado) e asp net - 260 horas - wincomp - 12/2014 • advpl ii e iii protheus - 20 horas - acctiva tecnologia & negócios - 23/06/2008 á 27/06/2008 • cids: capacidade integrada módulos erp (microsiga) - 130 horas - acctiva tecnologia & negócios - 06/05/2008 á 30/05/2008 • delphi 2008 for win 32 multi-tier - 24 horas - tds - 08/04/2008 á 24/04/2008 • delphi 2008 desenvolvimento de aplicações - 40 horas - tds - 07/01/2008 á 30/01/2008 ,delphi 2008 desenvolvimento de aplicações - 40 horas - tds - 07/01/2008 á 30/01/2008,2008-01-30,,,2014-12,for win,,2008-01-07,,,unknown
cv44224.xml,gerenciamento ágil de projetos de software com scrum - caelum 40 horas - 2013 formação mcp - .net ka solution 2124 - c# 2389 - asp.net 2320 - ado.net usp - ime curso de verão 2006 .  introdução à linguagem java .  programação distribuída em java .  algoritmos em java,algoritmos em java,,,2013,2006-12,ime,mcp,,,,unknown
cv52252.xml,•  web designer (dreamweaver  fireworks  photoshop  corel draw  jquery  css e javascript) •  php orientado objeto com mysql •  montagem e configuração de micro •  word  excel  access  pagemaker •  faço uso do inglês técnico instrumental básico para comunicação e entendimento de softwares e hardwares em geral.,faço uso do inglês técnico instrumental básico para comunicação e entendimento de softwares e hardwares em geral,,,,,,,,,,unknown
cv45016.xml,•  técnico mecatrônica •  segurança em instalações e serviços com eletricidade - nr10 •  montagem de manutenção de computadores e redes •  manutenção de impressoras informações adicionais ja executei trabalhos autônomos como técnico em informática durante o processo de finalização dos cursos de informáticas  trabalhos como técnico de iluminação montagem  operação  reparos.,de iluminação montagem  operação  reparos,,,,,,,,,,unknown
cv48033.xml,html básico fundamentos de governança de ti. banco de dados,banco de dados,,,,,,,,,,unknown
cv54241.xml,2010 - 2012,2010 - 2012,,,2012,,,,,2010,,unknown
cv55767.xml,período: 09/2017 atividades desenvolvidas: levantamento e análise do fluxo do processo de negócio do sistema público financeiro  segundo pcasp- plano de contas aplicado ao setor público análise para implementação de sistemas para controle de atividades de execução de contratos com órgãos públicos levantamento  especificação e validação de requisitos dos projetos de desenvolvimento e melhoria solicitados pelos órgãos prototipação de funcionalidades testes funcionais definição de metodologia e fluxo de trabalho do núcleo de análise e desenvolvimento mapeamento de processos internos utilizando notação bpmn análise de viabilidade de integrações com sistemas governamentais (sicon - siconv - sei - srp   - comprasnet) análise de regras de negócio a partir da lei 8.666  e instruções normativas 02  04  05 e 06. ferramentas utilizadas jira  kambam  mantis  git,normativas 02  04  05 e 06. ferramentas utilizadas jira  kambam  mantis  git,,,2005,2017-09,,,,,,unknown
cv20844.xml,fevereiro de 2013: caelum  brasília - df fj25 • persistência com jpa e hibernate  março de 2013: caelum  brasília - df. fj26 • laboratório web com jsf e cdi (faceletes  jsf  ajax e seam 3)  agosto de 2010: x25  brasília - df. java / web • desenvolvimento em java para web.  abril de 2008: b2br  brasília - df. bi • 11i10 business intelligence - oracle implementation champion.  abril de 2008: b2br  brasília - df. soa • oracle soa implementation champion  outubro de 2007: vitria  brasília - df. v432-400-r • businessware 4 system administrator.  outubro de 2007: vitria  brasília - df. v432-200-r • businessware 4 developing w.  agosto de 2005: x25 informática  brasília - df. j2ee • ejb  jsp  servlets  jdbc e jndi.  outubro de 2004: fóton informática  brasília - df. sl-110 • fundamentos da linguagem de programação java. novembro de 2002 à maio de 2003: efti  brasília - df. ,novembro de 2002 à maio de 2003: efti  brasília - df,,,,2003-05,fóton informática,,,,2002-11,unknown
cv48760.xml,. itil v3 2011 foundations (treinamento in company) portal do treinamento extracurriculares aerohive wireless administrator bootcamp aerohive training . cisco ccnp route 300-101 - official cert guide autoestudo . cisco cvoice  - official cert guide autoestudo . ccna - cisco certified network associate v 3.1 cisco netacademy . it essentials i: pc hardware and software  v 4.0 cisco netacademy . it essentials ii: network operation systems   v 3.1 cisco netacademy . generating  new  revenue  streams  and  increasing juniper networks network security . tools  and  strategies  for  coping  with  ipv4  address juniper networks depletion . firewall enterprise 8.0 (sales) mcafee e-learning . firewall enterprise 8.0 essentials exam (technical) mcafee e-learning . mcafee network security plataform v6.1 mcafee e-learning . network security platform 6.0 essentials exam mcafee e-learning . network security platform 7.0 (sales) mcafee e-learning . radware attack mitigation system - ams radware e-learning . aruba - implementing aruba wlan westcon brasil . aruba - scalable wlan design and implementation  westcon brasil . f5 - big ip ltm v10.x essentials westcon brasil . f5 - big ip ltm v10.x advanced westcon brasil,f5 - big ip ltm v10.x advanced westcon brasil,,,2011,,security platform,ccnp,,,,unknown
cv52538.xml,curso: psicopatologia (eventologias) - ano 2012,curso: psicopatologia (eventologias) - ano 2012,,,2012,,,,,,,unknown
cv44174.xml,• participação em vários cursos. palestras  conferências e demais eventos sobre tecnologias de contact center (nortel  avaya  genesys  witness  intervoice)  crm (vantive  clarify  siebel  )  erp (sap  datasul  bann  jde)  bi (brio  cognos  business object e microstrategy)  cmmi  itil  soa. • principais cursos realizados: * plataforma digital (android e ios) - (resource_2017). * plataforma amadeus (gds airlines) - (tam 2014). * plataforma payware (cartão de crédito)- (verifone uruguai 2012) * metodologias ágeis - scrum - (stefanini_2010). * gerenciamento de projetos pmi aplicação pmbok - (politec_2006). * gerenciamento de projetos pmi aplicação pmbok - (contax_ 2005). * gerenciamento de projetos pmi aplicação pmbok - (cpm_2001). * curso siebel essentials (janeiro de 2001). * curso solução witness (gravação  qualidade  e-learning (maio de 2002). * curso plataforma de soluções genesys (julho de 2002). * vários cursos avaya (ano de 2000 e 2001). ,vários cursos avaya (ano de 2000 e 2001),,,2001,2002-07,gds airlines,,,2000,,unknown
cv51624.xml,• inglês avançado (centro interescolar de línguas-cilc) - período de 24/07/2000 a 19/07/2006 - 6 anos • conversação em língua inglesa (centro interescolar de línguas-cilc) - período de 20/05/2003 a 15/12/2003 - 7 meses • operador de microcomputador - pacote office - 1 ano • curso de treinamento para membros da cipa (bra engenharia) - 20 horas • curso de primeiros socorros e brigada de incêndio voluntário (rf engenharia) - 8 horas • oficinas de psicologia organizacional na jornada de psicologia promovido por centro universitário iesb • avaliação psicológica - estudos avançados • palestrante em um minicurso de avaliação psicológica e aplicação de testes psicológicos em recrutamento e seleção.,palestrante em um minicurso de avaliação psicológica e aplicação de testes psicológicos em recrutamento e seleção,2003-12-15,,,,centro universitário iesb,,2003-05-20,,,unknown
cv44133.xml,visual basic  linux  php e mysql. • mcs-it formação profissional em java. • tekno software html  javascript  xml  dreamweaver  flash e asp.,html  javascript  xml  dreamweaver  flash e asp,,,,,,,,,,unknown
cv55005.xml,metodologia de vendas em ti - (kla) recrutamento e seleção (g_p) vendendo tecnologia com valor agregado - (oracle) introdução em sap (dts) liderança mbti - resource zoho - resource sales force - schneider electric scrum - agile - ginga one,scrum - agile - ginga one,,,,,sales force - schneider electric,,,,,unknown
cv38615.xml,technical  program for internet and cobol  2008 - 2008,technical  program for internet and cobol  2008 - 2008,,,2008,,,,,2008,,unknown
cv56549.xml,"• curso de segurança de redes de dados ministrado pela cnz engenharia e informática no período de 15/10/01 a 19/10/01.  • curso de extensão em comunicações de dados ministrado pela faculdade de engenharia elétrica e de computação da universidade estadual de campinas  no período de 12/02/01 a 28/02/01.  • matéria isolada no ita: administração de banco de dados - 1o semestre/2002  • matéria isolada no ita: introdução à criptografia - 1o semestre/2003   artigos e trabalhos publicados  • lima jr  lourival pereira de milani  paulo g. - ""descrição do software da interface matlab/multiprogramador"". são josé dos campos - 1997. publicação interna do inpe  registro inpe-6381-man/015.   superior completo idade: 41 anos aceita propostas como: clt (preferencial)  pj disponibilidade: imediata inglês: avançado sexo: masculino possui empresa aberta ? sim portador de necessidades especiais ? não","curso de segurança de redes de dados ministrado pela cnz engenharia e informática no período de 15/10/01 a 19/10/01.  • curso de extensão em comunicações de dados ministrado pela faculdade de engenharia elétrica e de computação da universidade estadual de campinas  no período de 12/02/01 a 28/02/01.  • matéria isolada no ita: administração de banco de dados - 1o semestre/2002  • matéria isolada no ita: introdução à criptografia - 1o semestre/2003   artigos e trabalhos publicados  • lima jr  lourival pereira de milani  paulo g. - ""descrição do software da interface matlab/multiprogramador"". são josé dos campos - 1997. publicação interna do inpe  registro inpe-6381-man/015.   superior completo idade: 41 anos aceita propostas como: clt (preferencial)  pj disponibilidade: imediata inglês: avançado sexo: masculino possui empresa aberta ? sim portador de necessidades especiais ? não",,,2003,,matéria isolada no ita,,,,,unknown
cv38840.xml,•  banco de dados mysql  sql server  access. •  programação php  java  javascript  css  jquery  html  html 5  asp.net. •  metodologias rup  scrum  itil  bpm e bpmn bizagi  lean six sigma  aris. •  sistemas operacionais linux  microsoft. cursos e ferramentas •  engenharia de requisitos •  uml •  engenharia de teste atc-nf •  fundamentos de teste de software ctfl •  teste de software avançado •  modelagem de dados •  modelagem de processos •  introdução a projetos •  resolução de problemas •  atendimento ao cliente •  produção de texto e redação empresarial •  gestão empresarial •  gestão de documentos •  ms project •  fundamentos de gestão de ti •  ciência e tecnologia •  lógica de programação e orientação a objetos •  hibernate •  jsp •  php orientado a objetos •  php com mysql •  rational clear case •  visio •  eclipse •  visual studio •  joomla •  axure •  enterprise architect •  star uml •  apache •  wamp •  svn •  fundamentos de redes •  redes para windows •  redes tcp/ip •  aris modelagem de processos •  microsoft official course programming.,microsoft official course programming,,,,,ciência e tecnologia,,,,,unknown
cv42880.xml,qualidade em atendimento  telemarketing  informática  windows  office  contabilidade  departamento pessoal  administração e vendas.- instituição infocursos assistente administrativo - gerenciamento de projetos- instutição infocursos. pretensão pessoal: ❖ realizar com empenho e qualidade as funções designadas  desempenhar atividade que envolva concentração  dinamismo  trabalho em equipe e relacionamento com o público.,realizar com empenho e qualidade as funções designadas  desempenhar atividade que envolva concentração  dinamismo  trabalho em equipe e relacionamento com o público,,,,,instituição infocursos,,,,,unknown
cv55006.xml,certificação scrum master - preparatório para certificação csm - (agosto/18) - 16 horas − certificação scrum master - preparatório para certificação psm i - (março/18) - 16 horas − gestão comercial para ti (online) - curso de gestão comercial para ti  ministrado por ronald perrini (janeiro/17 a março/17) − rup - rational unified process - 80 horas − gerenciamento - gerenciamento de projetos - 40 horas − pmbok - gerenciamento de projetos - 40 horas − apf - contagem de pontos por função - 40 horas − uml - unified modeling language - 16 horas − uml - borland together for java - 40 horas − java - programação orienta a objeto - 120 horas − visual basic - programação estruturada - 80 horas − network academy cisco - rede de computadores cisco - 120 horas − iso 9000 - certificação para garantia de qualidade - 08 horas  cursos extras − seguro (presencial) - treinamento de franqueado da seguralta - 40 horas − seguro (online) - treinamento sobre seguro (noções básicas de seguro  seguro auto  seguro residencial  seguro saúde  seguro bike  administração de apólices  sinistros  seguro viagem  consorcio) - 20 horas  conhecimentos avançados − análise de requisitos (uml e rup) − modelagem de dados − sql − apf (contagem de pontos por função) − scrum − gestão de projetos − ferramentas (jira e redmine)   − scrumstudy - sfc - scrum fundamentals certified junho/2018   − scrum alliance - csm - scrum master certified agosto/2018 ,scrum alliance - csm - scrum master certified agosto/2018,,,,2018-08,scrum alliance,,,,2017-01,unknown
cv37780.xml,• itamsoftware 06-2017 - desenvolvendo assinatura a1.  • call tecnologia 01 -2017 - desenvolvimento de sistema para telefonia udp.   course: english level: fluent institution of education: exchange in australia  relevant courses  • frameworks: struts  hibernate cursos de atualização • curso sobre o padrão mvc - politec - 12 hours. • curso de uml - politec - 18 hours. • curso de ejb - politec - 18 hours • curso sobre framework - politec - 12 horas • workshop cvs - politec - 08 hours • curso de modelagem utilizando o rational rose - politec - 18 horas •curso de design partners - politec - 18 horas • power logic 20 horas - squadra. linux red hat 5.5 80 horas red hat  trabalhos free lancer:  • polisys 10-2016 - desenvolvendo erm em angular 1 ,polisys 10-2016 - desenvolvendo erm em angular 1,,,2018,2016-10,,,,,,unknown
cv44738.xml,agile - project management - pmi cmmi - sei / test suit - rational congressos internacionais de gerenciamento de projetos na américa latina europa e canadá.,europa e canadá,,,,,projetos na américa latina,,,,,unknown
cv47938.xml,/ eventos  ●   aws business professional online - jul/2017 ●   aws technical professional online - jul/2017 ●   aws tco and cloud economics online - jul/2017 ●   aws solutions training for partners: foundations - jul/2017 ●   oracle open world - jun/2016 ●   the developer conference - trilha management 3.0 - jul/2012 ●   web security forum - abr/2011 ●   curso de introdução aos mercados futuros e opções - bm&f - jun/2005 ●   2310 - developing microsoft asp.net web applications using visual studio.net - brás & figueiredo - jan/2005 ●   2557 - building com+ applications using microsoft.net enterprise services - brás & figueiredo - jan/2005 ●   2389 - developing applications using ado.net- brás & figueiredo - jan/2005 ●   2524 - developing xml web services using microsoft asp.net - brás & figueiredo - dez/2004 ,2524 - developing xml web services using microsoft asp.net - brás & figueiredo - dez/2004,,,,2004-12,web security forum,,,,,unknown
cv42684.xml,"* informática - windows/ word/ excel/ power point/ internet. * capacitação profissional. * curso personalidade: transitando entre o normal e o patológico * pré-congresso para o 9º congresso regional da psicologia - minas gerais. * curso saúde vocal. * iv semana de estudos de psicologia - ""psicologia e sociedade universo de valores possibilidades de atuação"". * vi semana de estudos de psicologia - ""desafios contemporâneos: da intervenção a interpretação subjetiva no contexto diverso do indivíduo"". * viii edição da semana da psicologia - ""por uma psicologia mais democrática e igualitária: todo dia  todo lugar"". * ii sessão e cinema. - psicologia. * iii sessão e cinema. psicologia. * palestra psicologia e direito: cruzada antidrogas. * iv seminário de filosofia - café filosófico: grandes temas. * seminário integrado de psicologia escolar. * curso de testagem psicológica - palográfico. * ii mobilização da saúde - ""qualidade de vida"". * 3º edição do evento de alinhamento para aplicação de exames e avaliação. * qualificação profissional em técnico de vendas. palestras e eventos * ministrou palestra ""conquistando seu lugar no mercado de trabalho"" * ministrou palestra ""caminhos e escolhas - orientação vocacional / profissional"" * apoio psicológico com grupo de telemarketing / tele atendimento - dinâmicas / acompanhamento. * organizou a ""vi semana de estudos de psicologia - desafios contemporâneos: da intervenção a interpretação subjetiva no contexto diverso do indivíduo. bárbara caixeta freitas",bárbara caixeta freitas,,,,,iv seminário de filosofia - café filosófico,,,,,unknown
cv55088.xml,"•   inglês - cultura inglesa - nível intermediário •   inglês - wizard - immediate conversation •   curso de treinamento e desenvolvimento  ministrado pela prime cursos do brasil  2016. •   curso de iniciação de coaching  ministrado pela iped  2016. •   palestra sobre   webday rh  ministrado pela fortes tecnologia em sistemas  2015. •   curso de recrutamento e seleção  ministrado pela prime cursos do brasil  2013. •   pacote de programas microsoft office  na rede via educação  140 horas.   informações adicionais   publicações em periódicos •   comportamento organizacional: diferenças na produção empírica entre psicologia e administração.  revista pensamento contemporâneo em administração (rpca)  v. 10  n. 3  152-162  2016. •   para além do fim do arco-íris: motivações e consequências da adesão ao plano de demissão voluntária. revista de carreiras & pessoas (recape)  v. v  p. 270-281  2015.   participações em congressos e eventos  • tendências em estudos de carreira: coaching  calling e realização profissional. 2016. (mesa redonda/congresso). •   carreira proteana e sem fronteiras: influências na realização profissional. 2015. (apresentação de trabalho/congresso). •   a diferença no objeto de estudo da psicologia e administração em artigos sobre comportamento organizacional - uma revisão bibliográfica.  2014. (apresentação de trabalho/congresso). •   carreira e florescimento: influência de diferentes estágios de carreira e do comprometimento com a carreira no florescimento profissional.  2014. (apresentação de trabalho/congresso). •   participação como voluntária da pré-estreia do filme  ""faroeste caboclo""  maio de 2013  no shopping casa park - brasília - df. •   participação como monitora da colônia do tribunal de justiça do goiás 2011 da unidade sesi clube antônio ferreira pacheco - goiânia - go. ",participação como monitora da colônia do tribunal de justiça do goiás 2011 da unidade sesi clube antônio ferreira pacheco - goiânia - go,,,2011,2013-05,casa park,,,,,unknown
cv54026.xml,gestão de pessoas  associação brasileira de educação online - abeline (120h) - concluído técnicas de redação e arquivos  associação brasileira de educação online - abeline (80h) - concluído administração de rh  associação brasileira de educação online - abeline (40h) - concluído licitação e contratos  associação brasileira de educação online - abeline (30h) - concluído,(30h) - concluído,,,,,licitação e contratos  associação brasileira de educação online,,,,,unknown
cv44178.xml,ibm agile coach preparatório para exame scrum master - scrum preparatório para exame pmp - euax bpm - business process management,bpm - business process management,,,,,,pmp,,,,unknown
cv52822.xml,•  java  e  orientação  a  objetos  com  carga  horária equivalente  a 60  horas - algaworks. •  fullstack  angular  e  spring  com  carga  horária  equivalente  a  80  horas - algaworks •  spring framework  expert  com  carga horária  equivalente  a  120  horas - algaworks,spring framework  expert  com  carga horária  equivalente  a  120  horas - algaworks,,,1980,,,,,,,unknown
cv51663.xml,❑ operador de microcomputador - microlins ❑ rotinas administrativas - microlins ❑ recursos humanos - fgv - concluído em 2017 ❑ inglês - básico - unb idiomas - concluído em 2015 ❑ recrutamento e seleção - kenoby. concluído em 10/2017 ❑ implantação do plano de cargos  carreiras e salários - grupo gladium. concluído em 10/2017 ❑ planejamento estratégico - qualifica mais brasília - concluído em 03/2018 ,planejamento estratégico - qualifica mais brasília - concluído em 03/2018,,,2015,2018-03,carreiras e salários - grupo gladium,,,,,unknown
cv43933.xml,27/10/1982 - estado civil: casado   thiago@all4type.com.br (11) 4964-5242   94806-1083   2033-2079   96434-0744 ,(11) 4964-5242   94806-1083   2033-2079   96434-0744,1982-10-27,,2011,,,,,,,unknown
cv46062.xml,•  treinamento profissional em informática - cedaspy. •  avançado em língua inglesa - cooplem idiomas. •  conhecimento básico nas ferramentas testlink  jmeter e selenium ide. •  conhecimento básico em modelagem de casos de teste e execução funcional.,conhecimento básico em modelagem de casos de teste e execução funcional,,,,,treinamento profissional em informática,,,,,unknown
cv51256.xml,1. speed mentoring startup word - sebrae / 2018   2. changemaker - inovação social - choice / 2018   4. data science: do dado à tomada de decisão - udemy / 2017   6. engenharia de vendas para empresas de software - aisa pereira / 2016.   8. google analytics e seo - internet innovation / 2018.   7. venda de software - andré luís / 2016. ,7. venda de software - andré luís / 2016,,current,2016,,empresas de software - aisa pereira,,,2017,,unknown
cv43517.xml,03/16 processo de desenvolvimento de software  fundação bradesco. 04/16 engenharia de requisitos  fundação bradesco. 04/16 modelagem de dados  fundação bradesco. 05/17 fundamentos de programção java e orientação a objetos  trainning 06/17 desenvolvimento de aplicações java para web  trainning 06/17 linguagem de programção java  trainning 12/17 automação de testes com selenium webdriver em java  udemy. ,12/17 automação de testes com selenium webdriver em java  udemy,,,,2017-12,fundação bradesco,,,,2016-03,unknown
cv43974.xml,instrutor - capacitação em gestão de testes carga horária: 16 horas/ aula ministradas instrutor - preparatório para certificação ctfl. carga horária: 172 horas/ aula ministradas instrutor - preparatório para certificação ctal-tm. carga horária: 32 horas/ aula ministradas instrutor - automatização de testes de performance com jmeter. carga horária: 32 horas/ aula ministradas cinteq governo - congresso internacional em testes e qualidade de software (2011) cinteq - congresso internacional em testes e qualidade de software (2010),cinteq - congresso internacional em testes e qualidade de software (2010),,,2010,,cinteq - congresso internacional em testes e qualidade de software,,,,,unknown
cv51305.xml,curso técnico ka solution tecnologia em software - 2006 c#  t-sql  programando sql server 2000  administrando sql server 2000  mantendo windows server 2003  gerenciando windows server 2003 extras curriculares,extras curriculares,,,2006,,tecnologia em software,,,,,unknown
cv55786.xml,*  orientação a objetos com javascript local: school of net *  es6 local: school of net *  angular 2 local: school of net *  reactjs local: school of net *  scrum local: alura último projetos *  manutenção do aplicativo  site e extranet anamatra (ionic e diem5) http://ww.anamatra.org.br *  participação no projeto do portal padrão brasileiro (joomla) http://www.secom.gov.br/atuacao/comunicacao-digital/identidade-digital-1/d ocumentacao-por-cms *  consultoria para o novo portal do stm (joomla) http://www.stm.jus.br *  consultoria para o projeto disque 100 - matriz 2012 - unb/violes/sdh ( zend) https://violes.unb.br/sitematriz/ *  criação de componente (1.5) de níveis de acesso e permissão da parte administrativa (joomla) http://ww.infraero.gov.br,http://ww.infraero.gov.br,,,2012,,unb,,,,,unknown
cv47262.xml,"➢ operador de micro - básico ""microlins"" windows  word  excel  internet  powerpoint  photoshop  corel draw. ➢ manutenção de notebooks e redes ""microlins"" ➢ msql - banco de dados ""ciee"" ➢ gestão administrativa ""unieducar"" ➢ marketing pessoal ""prime cursos"" prime cursos 2016 auxiliar - administrativo",auxiliar - administrativo,,,2016,,msql - banco,,,,,unknown
